Membership No  Date Joined  Active  
    92791      2020-7-2     no    
    69100      2020-10-6    no    
    98466      2019-11-8    no    
    11754      2019-8-18    no    
    62356      2020-4-20    no    
    91695      2015-7-9     no    
    19737      2019-11-4    no    
    32514      2019-8-9     no    
    47774      2017-11-19   no    
    38532      2017-6-13    no    
    68546      2020-8-19    no    
    18963      2015-6-16    no    
    36339      2017-2-10    no    
    42773      2019-6-9     no    
    68350      2019-3-6     no    
    39688      2018-12-19   no    
    58942      2015-4-21    no    
